-770.6,-236.35,165.96,27543.56,726.4,H
-2138.,-449.3,449.01,201609.95,2020.6,H
-1999.5,-550.35,549.96,302454.76,1908.8,H
-3069.,-884.,1094.86,1198711.3,3051.,H
-2597.2,-2228.4,915.62,838356.8,2314.4,H
-1732.7,-722.8,442.32,195650.98,1545.1,H
-1409.2,-731.7,364.36,132761.14,1374.,H
-1035.2,-615.8,325.51,105956.47,1016.4,H
-2963.6,-381.,957.35,916526.49,2959.1,H
-2256.6,-1409.9,562.1,315954.71,1732.1,H
-1817.2,-395.4,668.39,446748.53,1727.2,H
-1255.7,-296.45,312.56,97694.9,1241.6,H
-902.,-471.3,277.7,77119.66,808.3,H
-636.2,-279.6,163.59,26761.58,513.6,H
-1234.,-669.7,388.66,151053.53,1192.7,H
-2200.7,-1490.,559.05,312532.27,1886.3,H
-3293.6,-1210.1,1163.08,1352758.08,3273.5,H
-1695.5,-525.8,455.94,207881.73,1618.1,H
-2155.4,-512.6,606.05,367293.64,2133.,H
-1901.2,-1075.4,452.6,204849.58,1778.7,H
-868.9,-383.7,314.98,99213.7,832.4,H
-1106.3,-254.05,353.68,125087.93,1078.7,H
-969.8,-315.9,288.66,83327.44,881.3,H
-2777.2,-700.9,901.36,812452.13,2732.2,H
-1951.6,-471.75,574.72,330306.02,1863.9,H
-1334.5,-452.5,441.53,194945.91,1303.5,H
-153.2,-85.05,68.15,4644.42,136.3,H
-1390.8,-529.8,422.04,178118.44,1247.,H
-2716.4,-430.5,936.85,877695.47,2696.4,H
-1439.8,-291.2,389.55,151752.5,1333.1,H
-723.6,-397.9,182.28,33226.84,669.3,H
-611.3,-248.45,121.68,14806.2,582.8,H
-1457.7,-527.2,486.92,237086.94,1423.4,H
-1879.2,-762.2,535.73,287003.21,1807.7,H
-1775.6,-975.9,415.53,172669.03,1713.6,H
-1775.,-760.5,483.19,233467.97,1711.,H
-777.2,-354.3,171.82,29523.51,712.6,H
-733.1,-467.9,238.19,56732.56,713.6,H
-893.1,-330.25,319.91,102345.28,852.3,H
-1123.1,-271.8,284.36,80863.07,1093.7,S
-1085.2,-295.,298.,88802.34,985.5,S
-830.2,-149.6,234.26,54876.4,788.2,S
-2876.2,-436.7,969.7,940325.97,2843.5,S
-485.6,-276.,126.13,15909.1,455.4,S
-647.9,-484.25,204.38,41772.72,577.7,S
-1576.7,-882.95,525.3,275944.06,1517.3,S
-1514.,-925.6,475.62,226210.64,1418.6,S
-1401.2,-339.,444.38,197477.47,1312.2,S
-1917.8,-596.7,625.99,391867.83,1911.3,S
-985.5,-495.7,299.37,89620.,922.3,S
-418.1,-160.2,146.08,21338.42,416.8,S
-2265.6,-591.5,721.2,520132.35,2257.2,S
-1325.,-545.2,480.42,230805.44,1209.8,S
-1188.,-502.05,312.04,97371.28,1166.6,S
-734.3,-467.75,265.73,70612.17,730.7,S
-1286.4,-584.55,301.74,91047.4,1222.7,S
-1089.5,-589.,305.74,93476.92,1000.4,S
-1225.9,-444.,329.36,108480.12,1084.8,S
-469.6,-72.9,143.27,20527.24,465.8,S
-1054.4,-292.55,344.25,118504.81,1029.5,S
-1346.5,-1060.6,457.74,209530.12,1312.9,S
-1389.5,-194.2,480.44,230825.18,1367.1,S
-1597.,-369.2,389.84,151974.42,1500.,S
-1059.3,-612.2,276.88,76662.83,973.5,S
-1390.1,-452.2,460.39,211963.35,1373.6,S
-1686.1,-87.95,579.49,335803.72,1680.5,S
-2382.2,-361.75,693.12,480417.9,2340.1,S
-1246.8,-709.3,309.5,95790.05,1182.4,S
-598.8,-246.15,143.89,20705.39,565.3,S
-826.8,-304.4,235.53,55474.2,814.1,S
-202.7,-98.3,69.54,4836.37,186.7,S
-957.5,-410.3,218.4,47700.01,908.1,S
-1620.3,-302.6,600.93,361122.37,1612.4,S
-1387.8,-330.8,376.17,141504.82,1382.9,S
-645.9,-547.35,237.08,56207.89,634.3,S
-1270.8,-441.7,346.93,120360.28,1237.,S
-1113.6,-770.95,326.86,106834.22,975.,S
-1357.2,-368.65,343.68,118115.7,1257.2,S
