-31.8,-6.55,7.08,50.13,31.,H
-30.2,-7.6,9.36,87.64,29.3,H
-21.2,-9.05,6.6,43.55,21.,H
-21.7,-7.8,6.32,39.94,20.5,H
-1255.3,-656.15,372.88,139043.1,1174.9,H
-1511.2,-387.6,439.25,192939.41,1459.3,H
-921.8,-353.4,270.48,73159.96,870.1,H
-2646.7,-393.,944.37,891826.09,2638.8,H
-1403.,-165.05,350.58,122903.64,1402.9,H
-1997.8,-693.8,587.09,344677.55,1954.8,H
-2926.9,-535.6,756.91,572916.91,2878.,H
-645.8,-264.,243.99,59533.55,632.5,H
-678.,-231.5,198.29,39320.45,671.1,H
-1060.9,-566.75,231.58,53631.18,939.2,H
-1297.7,-626.65,329.64,108660.45,1276.1,H
-2268.4,-939.65,813.2,661288.94,2242.4,H
-1223.8,-202.4,398.45,158764.77,1155.2,H
-1161.1,-540.8,369.89,136817.87,1150.9,H
-425.4,-164.75,104.14,10846.14,412.6,H
-1838.6,-445.8,482.31,232618.55,1829.5,H
-1043.9,-301.25,330.62,109306.81,1028.1,H
-732.1,-404.8,190.4,36250.66,713.,H
-1525.6,-331.25,457.99,209752.19,1516.8,H
-1275.7,-257.9,359.66,129354.03,1252.9,H
-1553.7,-470.75,449.98,202479.05,1519.3,H
-901.4,-195.05,210.92,44488.24,844.,H
-1319.8,-352.4,454.66,206719.19,1227.8,H
-1059.8,-244.,330.23,109052.82,1043.1,H
-729.1,-428.6,195.93,38389.32,666.6,H
-1578.2,-406.4,455.32,207319.49,1547.7,H
-1064.1,-640.8,288.81,83412.51,1003.9,H
-978.8,-157.,293.,85851.35,928.5,H
-1355.5,-529.2,350.94,123156.99,1312.,H
-685.3,-447.8,218.31,47659.03,632.6,H
-1813.,-815.9,638.41,407567.42,1733.2,H
-872.4,-245.75,284.98,81213.91,859.1,H
-1711.4,-326.3,600.99,361190.85,1674.1,H
-1938.,-497.,533.14,284236.07,1792.9,H
-1516.6,-460.4,565.58,319876.64,1502.4,H
-21.,-7.85,5.98,35.77,20.6,S
-20.5,-11.5,5.73,32.85,18.8,S
-22.4,-13.,6.93,48.,22.2,S
-32.9,-12.15,7.75,60.05,32.3,S
-28.2,-12.95,10.16,103.19,27.4,S
-477.2,-264.95,130.7,17083.48,415.9,S
-454.2,-337.9,126.08,15895.17,446.4,S
-1515.,-369.2,402.67,162140.44,1513.,S
-486.4,-191.,137.79,18987.07,446.4,S
-1103.5,-368.3,289.09,83574.13,1072.9,S
-479.,-163.9,146.1,21344.5,462.8,S
-1706.,-414.05,492.92,242968.41,1693.4,S
-1359.,-681.1,487.73,237875.91,1353.6,S
-1660.8,-684.1,550.83,303416.83,1642.9,S
-892.2,-354.35,304.16,92514.74,887.5,S
-1031.4,-456.2,373.38,139414.28,1019.1,S
-1527.5,-1001.55,470.18,221068.41,1516.1,S
-943.7,-233.5,262.41,68857.56,930.7,S
-1498.5,-415.5,481.42,231765.46,1430.7,S
-737.6,-395.3,234.23,54863.29,724.,S
-279.,-148.,86.48,7478.35,263.9,S
-966.7,-634.4,298.75,89250.25,954.4,S
-38.,-9.7,10.63,113.06,37.5,S
-1656.8,-850.4,430.59,185408.34,1559.7,S
-660.2,-231.8,207.93,43234.61,651.4,S
-1183.7,-558.,328.6,107978.2,1116.7,S
-730.7,-195.,235.78,55590.43,706.8,S
-1365.4,-694.3,439.48,193146.01,1348.4,S
-1709.3,-483.2,470.15,221036.72,1708.2,S
-1014.5,-645.7,299.87,89923.19,988.,S
-917.,-260.,239.8,57505.14,885.6,S
-299.7,-113.8,85.55,7318.67,296.,S
-1131.7,-830.,349.79,122354.83,981.8,S
-816.,-337.8,245.69,60365.34,810.3,S
-614.8,-338.9,234.47,54976.12,602.1,S
-663.6,-112.1,219.6,48226.11,634.3,S
-577.1,-243.6,122.26,14946.91,517.9,S
-756.4,-369.25,260.7,67965.08,750.7,S
-238.9,-119.45,72.63,5275.66,209.,S
