24,-754.9,-521.4,179.71,32295.62,743.0,H
25,-792.8,-343.2,255.69,65378.58,776.0,H
26,,H,,,,
27,-2396.6,-1647.85,539.38,290928.24,2144.7,H
28,-1232.3,-382.9,379.1,143718.82,1158.9,H
29,-1483.2,-420.1,432.29,186871.67,1479.2,H
30,-325.4,-226.,133.91,17930.84,320.4,H
31,-1313.0,-635.8,400.04,160030.33,1284.8,H
32,-2685.4,-963.85,714.01,509804.32,2327.0,H
33,-1249.5,-505.35,335.27,112406.19,1232.7,H
34,-1564.2,-1306.2,457.75,209536.16,1427.3,H
35,-1186.6,-346.7,340.34,115831.18,1035.4,H
36,-2864.6,-1443.1,715.27,511604.74,2833.3,H
37,-702.8,-402.5,262.95,69143.33,701.4,H
38,-3557.4,-941.9,996.56,993135.52,3321.3,H
39,-290.4,-155.2,83.94,7045.99,289.8,S
40,-654.8,-206.1,178.24,31770.36,651.8,S
41,-593.0,-285.9,172.26,29674.88,583.2,S
42,-273.7,-193.2,84.9,7207.97,256.4,S
43,-995.9,-567.5,270.77,73319.02,954.7,S
44,-151.4,-44.7,51.41,2643.11,145.8,S
45,-917.9,-203.1,308.03,94881.65,892.8,S
46,-706.9,-409.8,254.39,64716.42,660.0,S
47,-259.4,-193.35,60.1,3612.19,140.9,S
48,-231.8,-167.2,52.56,2762.45,159.5,S
49,-412.4,-55.55,129.75,16836.19,410.6,S
50,-608.2,-400.9,186.05,34614.92,605.2,S
51,-762.0,-317.45,203.28,41321.54,733.3,S
52,-203.9,-129.1,52.84,2792.44,153.3,S
53,-577.1,-375.75,168.64,28440.03,514.8,S
54,-386.9,-172.9,105.43,11114.62,361.3,S
55,-871.7,-455.5,293.51,86151.05,862.2,S
56,-703.2,-415.3,220.52,48627.96,649.7,S
57,-56.0,-29.4,26.6,707.56,53.2,S
58,-202.4,-173.7,55.37,3066.01,141.2,S
59,-554.9,-193.1,146.65,21506.3,482.5,S
60,-1501.8,-366.9,447.37,200141.58,1500.8,S
61,-994.8,-532.75,348.69,121583.0,983.6,S
62,-1171.0,-731.45,325.99,106269.74,1119.0,S
63,-1040.8,-374.1,251.19,63096.53,1010.0,S
64,-518.7,-246.9,123.97,15368.31,455.7,S
65,-306.6,-182.1,83.77,7017.17,232.2,S
66,-620.3,-339.9,172.49,29753.76,590.8,S
67,-561.0,-254.7,176.07,31001.38,539.7,S
68,,S,,,,
69,-924.0,-434.6,234.64,55057.18,791.5,S
70,-1193.9,-594.7,294.64,86810.01,1141.2,S
71,-746.4,-355.2,224.82,50543.49,718.1,S
72,-561.7,-419.5,191.44,36647.56,515.7,S
73,-1164.1,-334.55,316.37,100091.65,1142.2,S
74,-314.0,-277.45,81.37,6620.54,227.5,S
75,-942.7,-325.2,303.74,92254.99,913.8,S
76,-1496.4,-734.1,352.38,124171.01,1268.8,S
77,-10.1,-10.1,0.0,0.0,0.0,S
