0.,0.,0.,0.,-39.75,-153.3,-322.15,-417.2,-490.9,-635.45,-753.55,-836.65,-872.5,-874.1,-822.55,-700.9,-637.4,-642.4,-708.8,-751.,-627.45,-441.65,-355.2,-321.25,-334.8,-408.15,-433.8,-433.6,-358.1,-313.3,-533.3,-773.2,-823.8,-856.15,-854.4,-789.15,-658.15,-558.3,-493.7,-351.75,-137.2,0.,0.,0.,0.,0.,H
0.,0.,0.,-10.55,-21.1,-11.6,-0.65,19.75,57.3,75.9,100.75,154.55,205.9,230.65,233.,188.,50.65,-95.,-197.65,-247.,-331.,-468.4,-531.75,-508.15,-474.6,-428.85,-263.9,-66.95,88.95,167.1,269.3,433.2,530.25,540.25,514.9,504.65,466.1,394.4,303.6,256.2,213.15,132.85,47.8,0.,0.,0.,H
0.,0.,0.,0.,15.85,50.1,68.5,11.15,-152.1,-361.95,-450.5,-435.1,-456.1,-434.4,-372.3,-371.05,-389.2,-268.6,-40.1,406.95,983.,1219.9,1377.1,1527.85,1496.05,1464.35,1458.,1309.5,1067.8,676.1,125.3,-174.1,-357.4,-529.85,-576.,-579.8,-573.7,-488.45,-312.,-157.5,-94.2,-47.1,0.,0.,0.,0.,H
0.,0.,0.,0.,0.,0.,-21.9,-43.2,-48.85,-58.25,-61.4,-54.9,6.4,263.35,960.55,1455.6,2071.4,3168.95,4037.85,4737.4,5049.8,5107.05,4972.25,4352.9,3228.9,2532.2,1773.55,430.85,-666.45,-1607.8,-2035.9,-2099.65,-2026.15,-1663.75,-1236.95,-1035.3,-870.55,-604.1,-370.05,-118.85,0.,0.,0.,0.,0.,0.,H
0.,0.,0.,0.,0.,-8.3,-3.35,26.2,49.85,57.2,69.1,83.85,103.25,123.05,126.3,125.9,122.7,103.4,91.2,95.5,92.15,105.,125.2,133.25,137.3,168.6,224.1,262.95,306.1,334.6,356.35,359.05,319.45,291.6,284.3,261.7,204.45,155.35,100.75,60.6,30.3,0.,0.,0.,0.,0.,H
0.,0.,0.,-47.4,-136.6,-178.4,-211.35,-273.45,-320.45,-342.4,-346.5,-343.95,-323.15,-219.15,-21.5,90.4,237.7,509.1,725.5,829.45,841.1,879.05,805.,508.8,123.75,-77.1,-249.2,-546.5,-787.9,-948.65,-993.2,-1057.2,-1027.45,-787.85,-511.25,-380.5,-322.75,-234.75,-162.75,-84.,-47.,-23.5,0.,0.,0.,0.,H
0.,0.,0.,0.,0.,0.,0.,0.,21.5,76.,135.75,198.3,234.1,240.9,202.25,180.05,260.15,317.,330.15,308.35,232.7,138.4,84.8,78.65,120.05,121.9,9.5,-57.2,-80.9,-102.65,-86.75,-55.,-37.2,-37.85,-40.6,-20.25,12.05,21.9,10.95,0.,0.,0.,0.,0.,0.,0.,H
0.,0.,0.,0.,0.,-21.05,-49.5,-45.,10.3,53.7,124.75,274.35,456.05,700.25,841.3,967.2,1179.05,1238.4,1174.8,1137.8,1010.8,706.25,336.2,-56.35,-256.4,-433.95,-744.25,-910.1,-985.95,-1028.7,-972.75,-817.8,-629.45,-481.1,-422.1,-349.4,-222.5,-120.5,-36.35,0.,0.,0.,0.,0.,0.,0.,H
0.,0.,0.,0.,0.,0.,0.,0.,-28.95,-75.1,-104.3,-129.,-141.7,-152.7,-115.25,8.55,60.8,37.7,161.05,495.75,924.1,1236.25,1429.65,1538.9,1575.15,1508.3,1385.,1353.8,1215.35,882.75,483.6,196.15,15.45,-82.8,-156.5,-213.45,-142.4,-88.1,-44.05,0.,0.,0.,0.,0.,0.,0.,H
0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,11.55,18.,70.45,127.6,178.4,274.8,333.8,465.3,583.4,763.65,1080.7,1407.4,1672.85,1748.4,1729.65,1665.3,1606.3,1474.8,1356.7,1176.25,847.85,514.7,196.8,64.1,32.05,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,H
-110.9,-144.75,-203.3,-228.,-241.3,-271.5,-455.95,-625.6,-682.45,-685.25,-454.3,-194.5,-89.,-31.95,32.25,109.85,335.2,514.8,602.5,683.75,502.15,253.65,180.3,120.5,22.1,-53.55,-145.45,-200.3,-236.9,-286.35,-252.4,-164.7,-123.8,-83.7,-10.,48.1,104.8,137.,161.45,200.6,203.4,177.,162.5,149.85,123.65,110.1,H
0.,37.8,85.95,140.6,184.9,207.75,251.9,282.15,256.8,222.5,207.2,119.55,19.25,-77.95,-147.2,-161.85,-167.1,-76.6,88.7,172.9,200.8,198.6,144.25,156.45,261.35,321.6,355.35,361.8,317.2,346.35,372.,453.45,599.15,652.15,589.55,525.6,452.95,325.75,230.4,151.35,113.1,83.7,44.5,21.85,4.5,0.,H
