2899621,2899621,2899621,2899621,2899621,2899621,2899621,2899621,2899621,2899031,2898187,2897766,2897776,2897776,2900360,2905075,2911156,2915961,2915961,2919566,2923081,2926266,2926266,2928802,2930624,2930843,2929041,2929041,2925148,2922242,2920688,2919102,2919102,2917537,2915857,2915857,2915857,2915857,2915857,2915857,2915857,2915857,2915857,M
2882259,2882259,2882259,2882259,2882259,2882259,2882259,2882259,2881656,2881252,2880776,2880776,2880395,2880320,2880020,2879650,2879650,2879363,2879081,2878546,2878640,2878640,2879013,2879346,2880128,2881084,2881084,2882038,2882720,2882357,2881916,2881916,2881670,2881112,2880840,2880840,2880840,2880840,2880840,2880840,2880840,2880840,2880840,S
2916856,2916856,2916856,2916856,2916856,2916856,2916856,2916669,2916598,2916598,2916312,2916270,2916178,2916397,2916397,2916328,2916587,2916722,2917552,2917552,2920207,2924246,2928737,2933638,2933638,2937458,2939857,2938335,2935386,2935386,2932199,2930928,2929563,2928155,2928155,2926673,2925168,2925168,2925168,2925168,2925168,2925168,2925168,H
2893819,2893819,2893819,2893819,2893819,2893819,2893819,2893819,2893819,2893738,2893738,2893361,2893387,2893367,2893733,2893733,2893919,2894438,2894651,2894651,2896042,2897377,2897936,2896591,2896591,2894689,2893024,2892678,2892591,2892591,2892393,2892144,2892380,2892566,2892566,2892566,2892566,2892566,2892566,2892566,2892566,2892566,2892566,M
2892592,2892592,2892592,2892592,2892592,2892592,2892592,2892592,2892592,2892592,2892592,2892830,2893284,2893781,2894182,2893683,2893683,2892880,2892624,2892308,2892472,2892472,2892650,2892874,2892308,2892308,2891746,2891254,2891111,2891107,2891107,2891053,2891245,2891447,2891447,2891447,2891447,2891447,2891447,2891447,2891447,2891447,2891447,S
2878739,2878739,2878739,2878739,2878739,2878739,2878739,2877791,2876955,2876955,2876296,2875713,2875356,2875274,2875274,2875325,2875690,2876457,2877859,2877859,2880146,2882045,2883534,2883685,2883685,2884495,2882620,2879703,2877088,2877088,2875933,2875328,2874493,2873753,2873753,2873283,2873283,2873283,2873283,2873283,2873283,2873283,2873283,H
2845120,2845120,2845120,2845120,2845120,2845120,2845120,2845120,2845120,2845120,2845120,2842586,2840417,2838335,2836143,2836143,2835116,2835147,2835769,2835877,2835877,2836622,2836841,2835587,2834762,2834762,2833417,2830372,2827795,2825912,2825912,2824649,2824754,2824754,2824754,2824754,2824754,2824754,2824754,2824754,2824754,2824754,2824754,M
2827223,2826364,2825380,2825380,2824389,2823657,2822761,2822170,2822170,2821731,2821338,2821211,2821328,2821328,2822139,2823227,2823199,2823970,2823970,2825142,2825975,2827441,2828270,2828270,2829078,2828179,2826989,2824766,2824766,2822545,2820156,2818119,2815470,2815470,2813274,2811074,2809199,2807281,2807281,2805769,2803287,2800739,2797953,H
2761882,2761882,2761882,2761882,2761882,2760220,2760220,2758440,2756626,2754939,2753275,2753275,2750372,2747452,2744769,2742093,2742093,2740729,2740833,2740083,2738900,2738900,2736490,2733908,2731457,2729244,2729244,2727052,2725004,2723420,2721729,2721729,2720637,2718897,2716781,2715402,2715402,2714517,2714517,2714517,2714517,2714517,2714517,S
2694345,2693683,2692947,2692384,2692384,2691953,2691644,2691396,2691054,2691054,2691045,2690959,2690926,2690928,2690928,2690970,2690996,2691277,2691554,2691554,2691678,2691461,2690800,2690322,2690322,2689602,2689868,2690115,2690072,2690072,2690045,2689734,2689515,2689316,2689316,2689208,2688962,2688770,2688593,2688593,2688410,2688162,2687656,M
2611429,2611165,2610848,2610677,2610677,2610563,2610642,2610387,2610539,2610539,2610671,2610712,2610731,2610840,2610840,2610795,2610727,2610251,2609810,2609810,2609364,2609495,2609815,2610476,2610476,2611129,2611174,2610864,2610236,2610236,2609756,2609244,2608959,2608878,2608878,2608735,2608364,2607778,2606891,2606891,2606002,2605098,2604504,S
2748570,2748570,2747900,2747113,2746616,2746045,2746045,2745702,2745085,2744001,2742944,2742944,2741617,2740690,2739735,2738633,2738633,2737483,2736302,2735195,2734600,2734600,2734413,2733914,2733824,2733996,2733996,2734267,2732621,2731481,2732819,2732819,2734573,2736476,2737307,2738182,2738379,2738379,2738590,2738675,2738716,2738822,2738822,H
2739466,2739466,2739256,2738846,2738011,2736858,2736858,2735957,2734722,2733451,2732489,2732489,2731650,2730879,2730496,2730001,2730001,2729740,2729425,2729092,2728825,2728825,2728732,2728994,2728656,2727924,2727924,2726753,2725598,2724140,2723342,2723342,2722544,2721875,2721213,2720685,2720685,2720553,2720454,2720798,2721007,2721007,2721165,M
2701618,2702291,2703021,2703703,2704649,2704649,2705322,2705869,2706074,2706190,2706190,2706004,2705142,2703132,2700552,2700552,2698773,2697355,2696427,2695955,2695955,2695379,2695186,2695300,2695250,2695250,2695278,2695103,2694957,2695245,2695245,2695475,2695590,2695236,2694365,2694365,2693609,2692733,2692143,2691777,2691777,2691759,2691640,S
2694462,2694462,2693895,2693262,2692471,2692124,2692124,2691707,2690247,2688337,2686442,2686442,2685503,2684600,2684740,2685018,2685018,2685543,2685240,2684919,2685354,2685354,2684955,2684258,2684076,2684287,2684287,2686368,2687037,2690452,2695355,2695355,2700340,2704389,2707248,2708888,2708888,2709612,2710160,2710521,2711011,2711011,2711221,H
2669220,2667843,2665968,2664083,2662566,2660768,2659252,2658011,2657041,2655999,2655459,2654963,2654132,2653179,2652213,2651628,2650663,2649537,2648333,2647414,2647295,2647308,2647206,2646859,2646679,2646807,2646924,2647097,2647344,2647530,2648092,2648772,2649469,2649631,2649981,2650004,2650449,2650641,2650914,2651338,2651825,2652370,2652953,M
2719880,2719519,2719477,2719472,2719472,2719594,2719523,2718469,2717261,2717261,2716763,2715157,2713517,2711776,2711776,2710093,2708697,2708045,2707035,2707035,2705907,2705456,2704928,2704684,2704684,2704655,2704485,2705491,2706786,2706786,2708516,2709222,2711714,2715005,2715005,2717707,2719559,2720954,2721842,2721842,2722623,2723247,2723983,H
2735491,2735114,2734643,2734215,2733404,2733404,2732582,2731894,2730827,2729288,2729288,2727284,2725250,2723276,2721875,2721875,2720820,2719737,2718678,2718023,2718023,2717552,2717558,2718090,2718718,2718718,2719462,2720127,2720156,2719557,2719557,2718684,2717752,2716533,2715839,2715839,2714869,2714154,2713551,2713097,2713097,2713039,2713016,S
2797048,2797048,2797048,2797048,2797926,2798526,2798410,2797808,2797808,2797100,2796787,2796191,2796134,2796134,2795895,2796040,2796331,2796574,2796574,2797128,2797789,2798277,2798927,2798927,2799558,2800120,2800288,2799625,2799625,2798873,2797937,2797292,2796825,2796825,2796495,2796053,2796085,2796046,2796046,2796315,2796315,2796315,2796315,M
2831839,2831839,2831839,2831839,2831839,2831839,2831839,2831839,2831965,2832310,2832587,2833017,2833017,2833587,2834203,2834101,2834021,2834021,2833607,2834246,2834424,2834462,2834462,2834037,2834189,2833594,2833602,2833602,2833553,2833889,2834859,2835278,2835278,2835795,2836247,2836247,2836247,2836247,2836247,2836247,2836247,2836247,2836247,S
2831908,2831908,2831908,2831908,2831908,2831908,2831908,2831908,2831908,2830520,2830520,2828098,2826323,2824434,2823286,2823286,2821028,2818862,2819009,2815624,2815624,2815022,2815163,2814201,2813700,2813700,2813698,2813149,2813968,2814367,2814367,2814571,2813342,2812189,2812189,2812189,2812189,2812189,2812189,2812189,2812189,2812189,2812189,H
