2896572,2896572,2896572,2896572,2896821,2897048,2897553,2897553,2897960,2898373,2898772,2899423,2900037,2900037,2900839,2901473,2902156,2902532,2902532,2902544,2902590,2902394,2902394,2902318,2902716,2903339,2904219,2904219,2904740,2905352,2906114,2907032,2907032,2907822,2909000,2910249,2911135,2911135,2912193,2912193,2912193,2912193,2912193,S
2890230,2890230,2890230,2890230,2890230,2890230,2890230,2890230,2890534,2890534,2890640,2890059,2889402,2888801,2888801,2888208,2887707,2887521,2887026,2887026,2886684,2886095,2886371,2886558,2886558,2886442,2886794,2887218,2887862,2887862,2888544,2888380,2887794,2887678,2887678,2887678,2887678,2887678,2887678,2887678,2887678,2887678,2887678,M
2893595,2893595,2893595,2893595,2893595,2893595,2893595,2893595,2893595,2893660,2893829,2894274,2894738,2894738,2895056,2895735,2895717,2895028,2895028,2895243,2896766,2898168,2900031,2900031,2902160,2904801,2905505,2905089,2905089,2903644,2903214,2903129,2903243,2903243,2903461,2903461,2903461,2903461,2903461,2903461,2903461,2903461,2903461,H
2898790,2898790,2898790,2898790,2898790,2898790,2898790,2898790,2898790,2898790,2899347,2900116,2900598,2900598,2900321,2899576,2898846,2898739,2898739,2898759,2898506,2898911,2899308,2899308,2899710,2900277,2900706,2901150,2901150,2901773,2902367,2902688,2903212,2903212,2903212,2903212,2903212,2903212,2903212,2903212,2903212,2903212,2903212,S
2871069,2871069,2871069,2871069,2871069,2871069,2871069,2871069,2871069,2871069,2870937,2870937,2871158,2871601,2872071,2872508,2872508,2873295,2873868,2874796,2876081,2876081,2877147,2880754,2882218,2882647,2882647,2882611,2881259,2879999,2879123,2879123,2878583,2878640,2878640,2878640,2878640,2878640,2878640,2878640,2878640,2878640,2878640,M
2894508,2894508,2894508,2894508,2894508,2894508,2894508,2894508,2895247,2896131,2896977,2896977,2896641,2896384,2896243,2896007,2896007,2896283,2898005,2900883,2902120,2902120,2901479,2901439,2901117,2901173,2901173,2901718,2902314,2903190,2903669,2903669,2904483,2904303,2903706,2903706,2903706,2903706,2903706,2903706,2903706,2903706,2903706,H
2872020,2872020,2872020,2872020,2872020,2872020,2872020,2872020,2871404,2870686,2870035,2869675,2869675,2869462,2869293,2869406,2869744,2869744,2870032,2870778,2872412,2873902,2873902,2875674,2876949,2877269,2877109,2877109,2876075,2875240,2874958,2874831,2874831,2874764,2874879,2874879,2874879,2874879,2874879,2874879,2874879,2874879,2874879,M
2856571,2856571,2856571,2856571,2856571,2856571,2856571,2856571,2856571,2856571,2856062,2856062,2855903,2855683,2855277,2855314,2855314,2854771,2853997,2853679,2853813,2853813,2854589,2854958,2855105,2855168,2855168,2856089,2857110,2858462,2859221,2859221,2859912,2860670,2860670,2860670,2860670,2860670,2860670,2860670,2860670,2860670,2860670,S
2802904,2802904,2802904,2802904,2802904,2802904,2802904,2802904,2802473,2801954,2800475,2799657,2799657,2798002,2795943,2793900,2792009,2792009,2790974,2792293,2801320,2815119,2815119,2829239,2837203,2837175,2835065,2835065,2832945,2831150,2829169,2826594,2826594,2824116,2821858,2821858,2821858,2821858,2821858,2821858,2821858,2821858,2821858,H
2755354,2755354,2755354,2755740,2756237,2756475,2756522,2756522,2756296,2755810,2755350,2755070,2755070,2754865,2754797,2754775,2754545,2754545,2754697,2754675,2754769,2754760,2754760,2754851,2755308,2755595,2755932,2755932,2756145,2755810,2755611,2755337,2755337,2755090,2754883,2754469,2754447,2754447,2754503,2754598,2754748,2754695,2754695,S
